nama,jenis,lat,lon,provinsi,pm25_h1,pm25_h2,pm25_h3,jarak_grid_km_h1,jarak_grid_km_h2,jarak_grid_km_h3,tanggal_ramal_h1,tanggal_ramal_h2,tanggal_ramal_h3
Pemuatan Jaya,village,-1.88771,110.49118,KALIMANTAN BARAT,53.908782958984375,55.156822204589844,44.67799758911133,24.123206152226032,24.123206152226032,24.123206152226032,2026-09-13,2026-09-14,2026-09-15
Sungai Tuat,village,-1.79247,111.09568,KALIMANTAN TENGAH,90.07027435302734,96.74232482910156,65.80044555664062,10.293399083352906,10.293399083352906,10.293399083352906,2026-09-13,2026-09-14,2026-09-15
Lada Mandala Jaya,village,-2.51548,111.77635,KALIMANTAN TENGAH,37.840110778808594,39.550201416015625,34.34861755371094,28.367250738533592,28.367250738533592,28.367250738533592,2026-09-13,2026-09-14,2026-09-15
Ringin Agung,village,-2.08088,112.08574,KALIMANTAN TENGAH,51.594444274902344,53.660369873046875,46.178382873535156,13.339979980503564,13.339979980503564,13.339979980503564,2026-09-13,2026-09-14,2026-09-15
Dawak,village,-2.4247,111.3347,KALIMANTAN TENGAH,77.36788177490234,85.69588470458984,63.98770523071289,36.114297336186155,36.114297336186155,36.114297336186155,2026-09-13,2026-09-14,2026-09-15
Segar Wangi,village,-1.86936,110.52303,KALIMANTAN BARAT,53.908782958984375,55.156822204589844,44.67799758911133,20.683882372475207,20.683882372475207,20.683882372475207,2026-09-13,2026-09-14,2026-09-15
Danau Buntar,village,-2.64439,110.92817,KALIMANTAN BARAT,55.57344055175781,56.33685302734375,45.24708557128906,20.06254856572675,20.06254856572675,20.06254856572675,2026-09-13,2026-09-14,2026-09-15
Sumber Mulya,village,-2.15887,111.39265,KALIMANTAN TENGAH,52.10718536376953,53.92253112792969,42.75602722167969,23.489127201102036,23.489127201102036,23.489127201102036,2026-09-13,2026-09-14,2026-09-15
Riam Panahan,village,-1.73463,111.08877,KALIMANTAN TENGAH,90.07027435302734,96.74232482910156,65.80044555664062,4.047917686919615,4.047917686919615,4.047917686919615,2026-09-13,2026-09-14,2026-09-15
Sengkaharak,village,-1.83648,110.5534,KALIMANTAN BARAT,53.908782958984375,55.156822204589844,44.67799758911133,16.035326937375867,16.035326937375867,16.035326937375867,2026-09-13,2026-09-14,2026-09-15
Penopa,village,-1.94133,111.17564,KALIMANTAN TENGAH,90.07027435302734,96.74232482910156,65.80044555664062,28.12062200927449,28.12062200927449,28.12062200927449,2026-09-13,2026-09-14,2026-09-15
